h3,can_train,can_pub
851f9cdbfffffff,1.0,0.0
851f9ccbfffffff,1.0,0.0
851f9c53fffffff,1.0,0.0
851f9c43fffffff,1.0,0.0
851f9c47fffffff,0.0,0.0
851f9c73fffffff,0.0,1.0
851f9c77fffffff,0.0,1.0
851f9c2bfffffff,1.0,1.0
851f9c2ffffffff,0.0,1.0
851f9d5bfffffff,0.0,0.0
851f9d43fffffff,0.0,0.0
851f9d47fffffff,0.0,0.0
851f9d0bfffffff,0.0,1.0
851f9d03fffffff,0.0,1.0
851f9d17fffffff,0.0,1.0
851f9dbbfffffff,1.0,1.0
851f9db3fffffff,0.0,1.0
851f8e4ffffffff,1.0,1.0
851f8e47fffffff,1.0,1.0
851f8e0bfffffff,0.0,1.0
851f8e1bfffffff,1.0,1.0
851f8ec7fffffff,1.0,1.0
851f8ed7fffffff,1.0,1.0
851f816ffffffff,1.0,1.0
851f8163fffffff,1.0,1.0
851f8173fffffff,0.0,0.0
851f810bfffffff,0.0,0.0
851f811bfffffff,0.0,0.0
851f81cffffffff,0.0,0.0
851f81cbfffffff,0.0,0.0
851f8037fffffff,0.0,0.0
851f8033fffffff,1.0,0.0
851f8007fffffff,1.0,0.0
851f8003fffffff,0.0,0.0
851f801bfffffff,0.0,0.0
851f80cffffffff,0.0,0.0
851f80cbfffffff,0.0,0.0
851f8627fffffff,0.0,0.0
851f862ffffffff,0.0,0.0
851f8293fffffff,0.0,0.0
851f829bfffffff,0.0,0.0
851f82d7fffffff,0.0,0.0
851f82c3fffffff,0.0,0.0
851f82cbfffffff,0.0,0.0
851f9527fffffff,0.0,0.0
851f825bfffffff,0.0,0.0
851f824bfffffff,0.0,0.0
851f91b3fffffff,0.0,0.0
851f91a3fffffff,1.0,1.0
851f91affffffff,1.0,1.0
851f9137fffffff,1.0,0.0
851f9127fffffff,0.0,0.0
851f9c5bfffffff,1.0,0.0
851f9c4bfffffff,0.0,0.0
851f9c4ffffffff,0.0,0.0
851f9c7bfffffff,0.0,0.0
851f9c63fffffff,0.0,0.0
851f9c67fffffff,0.0,0.0
851f9893fffffff,0.0,0.0
851f9897fffffff,0.0,0.0
851f9d4bfffffff,0.0,0.0
851f9d4ffffffff,0.0,0.0
851f9d7bfffffff,0.0,0.0
851f9d73fffffff,1.0,1.0
851f9d0ffffffff,0.0,1.0
851f9d07fffffff,0.0,1.0
851f9dabfffffff,0.0,1.0
851f9da3fffffff,0.0,1.0
851f9db7fffffff,1.0,1.0
851f8e7bfffffff,0.0,1.0
851f8e73fffffff,1.0,1.0
851f8e0ffffffff,1.0,1.0
851f8e03fffffff,1.0,1.0
851f8e13fffffff,1.0,1.0
851f8e8bfffffff,1.0,1.0
851f8e9bfffffff,1.0,1.0
851f8167fffffff,0.0,0.0
851f8177fffffff,0.0,0.0
851f810ffffffff,1.0,0.0
851f8103fffffff,0.0,0.0
851f8113fffffff,0.0,0.0
851f81c7fffffff,0.0,0.0
851f81c3fffffff,0.0,0.0
851f81dbfffffff,0.0,0.0
851f80affffffff,0.0,0.0
851f80abfffffff,0.0,0.0
851f8017fffffff,0.0,0.0
851f8013fffffff,0.0,0.0
851f80c7fffffff,0.0,0.0
